,YY,CC,LE,LEPred
AF,2071,AF,,72.42037037
AS,2071,AS,,82.6
EU,2071,EU,,87.30769231
NA,2071,NA,,83.26190476
OC,2071,OC,,78.915
SA,2071,SA,,82.91538462
AllWorld,2071,AllWorld,,81.23672534
AF,2072,AF,,72.55740741
AS,2072,AS,,82.73793103
EU,2072,EU,,87.44102564
NA,2072,NA,,83.4047619
OC,2072,OC,,79.035
SA,2072,SA,,83.03076923
AllWorld,2072,AllWorld,,81.36781587
AF,2073,AF,,72.6962963
AS,2073,AS,,82.86896552
EU,2073,EU,,87.55641026
NA,2073,NA,,83.52857143
OC,2073,OC,,79.185
SA,2073,SA,,83.17692308
AllWorld,2073,AllWorld,,81.50202776
AF,2074,AF,,72.83333333
AS,2074,AS,,83.00344828
EU,2074,EU,,87.66666667
NA,2074,NA,,83.68095238
OC,2074,OC,,79.315
SA,2074,SA,,83.32307692
AllWorld,2074,AllWorld,,81.6370796
AF,2075,AF,,72.96481481
AS,2075,AS,,83.15172414
EU,2075,EU,,87.78974359
NA,2075,NA,,83.8
OC,2075,OC,,79.445
SA,2075,SA,,83.43846154
AllWorld,2075,AllWorld,,81.76495735
AF,2076,AF,,73.1
AS,2076,AS,,83.27241379
EU,2076,EU,,87.91282051
NA,2076,NA,,83.94761905
OC,2076,OC,,79.58
SA,2076,SA,,83.58461538
AllWorld,2076,AllWorld,,81.89957812
AF,2077,AF,,73.22962963
AS,2077,AS,,83.41034483
EU,2077,EU,,88.02820513
NA,2077,NA,,84.06190476
OC,2077,OC,,79.705
SA,2077,SA,,83.70769231
AllWorld,2077,AllWorld,,82.02379611
AF,2078,AF,,73.36851852
AS,2078,AS,,83.53793103
EU,2078,EU,,88.14871795
NA,2078,NA,,84.2
OC,2078,OC,,79.825
SA,2078,SA,,83.85384615
AllWorld,2078,AllWorld,,82.15566894
AF,2079,AF,,73.5
AS,2079,AS,,83.68275862
EU,2079,EU,,88.27179487
NA,2079,NA,,84.31904762
OC,2079,OC,,79.955
SA,2079,SA,,83.96923077
AllWorld,2079,AllWorld,,82.28297198
AF,2080,AF,,73.62407407
AS,2080,AS,,83.8
EU,2080,EU,,88.39230769
NA,2080,NA,,84.46190476
OC,2080,OC,,80.09
SA,2080,SA,,84.1
AllWorld,2080,AllWorld,,82.41138109
AF,2081,AF,,73.76666667
AS,2081,AS,,83.93103448
EU,2081,EU,,88.49487179
NA,2081,NA,,84.58571429
OC,2081,OC,,80.235
SA,2081,SA,,84.21538462
AllWorld,2081,AllWorld,,82.53811197
AF,2082,AF,,73.89444444
AS,2082,AS,,84.06206897
EU,2082,EU,,88.61025641
NA,2082,NA,,84.71428571
OC,2082,OC,,80.36
SA,2082,SA,,84.37692308
AllWorld,2082,AllWorld,,82.6696631
AF,2083,AF,,74.02407407
AS,2083,AS,,84.19310345
EU,2083,EU,,88.72820513
NA,2083,NA,,84.84285714
OC,2083,OC,,80.5
SA,2083,SA,,84.49230769
AllWorld,2083,AllWorld,,82.79675791
AF,2084,AF,,74.15555556
AS,2084,AS,,84.31724138
EU,2084,EU,,88.85384615
NA,2084,NA,,84.96666667
OC,2084,OC,,80.62
SA,2084,SA,,84.63076923
AllWorld,2084,AllWorld,,82.92401316
AF,2085,AF,,74.28518519
AS,2085,AS,,84.44827586
EU,2085,EU,,88.97948718
NA,2085,NA,,85.1
OC,2085,OC,,80.745
SA,2085,SA,,84.74615385
AllWorld,2085,AllWorld,,83.05068368
AF,2086,AF,,74.41851852
AS,2086,AS,,84.5862069
EU,2086,EU,,89.09230769
NA,2086,NA,,85.22857143
OC,2086,OC,,80.89
SA,2086,SA,,84.86923077
AllWorld,2086,AllWorld,,83.18080588
AF,2087,AF,,74.55740741
AS,2087,AS,,84.7137931
EU,2087,EU,,89.20512821
NA,2087,NA,,85.35714286
OC,2087,OC,,81.01
SA,2087,SA,,85
AllWorld,2087,AllWorld,,83.30724526
AF,2088,AF,,74.69259259
AS,2088,AS,,84.85172414
EU,2088,EU,,89.31538462
NA,2088,NA,,85.47619048
OC,2088,OC,,81.145
SA,2088,SA,,85.13846154
AllWorld,2088,AllWorld,,83.43655889
AF,2089,AF,,74.82222222
AS,2089,AS,,84.95517241
EU,2089,EU,,89.42820513
NA,2089,NA,,85.59047619
OC,2089,OC,,81.285
SA,2089,SA,,85.26923077
AllWorld,2089,AllWorld,,83.55838445
AF,2090,AF,,74.94444444
AS,2090,AS,,85.09655172
EU,2090,EU,,89.55128205
NA,2090,NA,,85.71428571
OC,2090,OC,,81.4
SA,2090,SA,,85.38461538
AllWorld,2090,AllWorld,,83.68186322
AF,2091,AF,,75.07407407
AS,2091,AS,,85.22068966
EU,2091,EU,,89.66410256
NA,2091,NA,,85.83809524
OC,2091,OC,,81.55
SA,2091,SA,,85.50769231
AllWorld,2091,AllWorld,,83.80910897
AF,2092,AF,,75.21666667
AS,2092,AS,,85.35172414
EU,2092,EU,,89.8
NA,2092,NA,,85.96190476
OC,2092,OC,,81.675
SA,2092,SA,,85.63846154
AllWorld,2092,AllWorld,,83.94062618
AF,2093,AF,,75.3462963
AS,2093,AS,,85.48275862
EU,2093,EU,,89.91282051
NA,2093,NA,,86.1
OC,2093,OC,,81.8
SA,2093,SA,,85.76153846
AllWorld,2093,AllWorld,,84.06723565
AF,2094,AF,,75.47407407
AS,2094,AS,,85.60689655
EU,2094,EU,,90.02051282
NA,2094,NA,,86.21904762
OC,2094,OC,,81.94
SA,2094,SA,,85.89230769
AllWorld,2094,AllWorld,,84.19213979
AF,2095,AF,,75.60740741
AS,2095,AS,,85.74137931
EU,2095,EU,,90.13589744
NA,2095,NA,,86.33809524
OC,2095,OC,,82.07
SA,2095,SA,,86.00769231
AllWorld,2095,AllWorld,,84.31674528
AF,2096,AF,,75.74444444
AS,2096,AS,,85.84482759
EU,2096,EU,,90.24615385
NA,2096,NA,,86.44761905
OC,2096,OC,,82.205
SA,2096,SA,,86.11538462
AllWorld,2096,AllWorld,,84.43390492
AF,2097,AF,,75.85740741
AS,2097,AS,,85.97931034
EU,2097,EU,,90.35897436
NA,2097,NA,,86.57619048
OC,2097,OC,,82.335
SA,2097,SA,,86.26923077
AllWorld,2097,AllWorld,,84.56268556
AF,2098,AF,,76.00555556
AS,2098,AS,,86.12068966
EU,2098,EU,,90.48461538
NA,2098,NA,,86.69047619
OC,2098,OC,,82.465
SA,2098,SA,,86.36923077
AllWorld,2098,AllWorld,,84.68926126
AF,2099,AF,,76.12962963
AS,2099,AS,,86.23793103
EU,2099,EU,,90.6025641
NA,2099,NA,,86.80952381
OC,2099,OC,,82.595
SA,2099,SA,,86.48461538
AllWorld,2099,AllWorld,,84.80987733
AF,2100,AF,,76.26296296
AS,2100,AS,,86.36206897
EU,2100,EU,,90.72051282
NA,2100,NA,,86.92857143
OC,2100,OC,,82.715
SA,2100,SA,,86.59230769
AllWorld,2100,AllWorld,,84.93023731
